,station_id,station_na,lat,lon,neighborhood_id,FSA_code,da_id,cluster
223,7122,Niagara St / Tecumseth St,43.641389,-79.404444,82,M5V,35204142.0,23
224,7356,King St E / Ontario St.,43.651885,-79.3649,73,M5A,35204230.0,14
225,7265,Wallace Ave / Symington Ave - SMART,43.661324,-79.449534,93,M6P,35200959.0,20
226,7276,Bloor St W / Balmuto St,43.669903,-79.387802,76,M4Y,35204618.0,5
227,7147,King St W / Fraser Ave,43.6394444,-79.42527778,85,M6K,35204666.0,25
228,7249,Dovercourt Rd / Harrison St (Green P) - SMART,43.651145,-79.423742,81,M6J,35201423.0,32
229,7326,Davenport Rd / Lansdowne Ave.,43.671526,-79.44874,92,M6H,35201158.0,20
230,7228,Queen St W / Roncesvalles Ave,43.63710298,-79.44273082,85,M6K,35204003.0,19
231,7181,Lansdowne Ave / Whytock Ave,43.65388889,-79.44138889,83,M6H,35200951.0,21
232,7353,Fulton Ave / Pape Ave - SMART,43.68395,-79.347046,57,M4K,35200732.0,12
233,7244,Dufferin Gate - SMART,43.633473,-79.425679,82,M5V,35204873.0,25
234,7316,Queen St. E / Spruce Hill Rd.,43.672571,-79.289,63,M4E,35203235.0,31
235,7345,Cherry Beach Sports Field (55 Unwin Ave),43.640757,-79.343144,70,M4M,35204634.0,16
236,7217,Soho St / Queen St W,43.6494896,-79.393535,78,M5T,35200864.0,6
237,7440,Martin Goodman Trail / Ontario Dr,43.63121,-79.41414,82,M5V,35204873.0,28
238,7406,Victoria St / Queen St E,43.652822,-79.378208,75,M5B,35204615.0,13
239,7417,King St W / Jordan St,43.648928,-79.378623,76,M5H,35200855.0,24
240,7261,Queens Quay E / Lower Sherbourne St,43.645215,-79.364898,77,M5A,35200832.0,14
241,7432,Frederick St / King St E,43.651118,-79.369411,73,M5A,35204230.0,14
242,7419,Bloor St W / Huron St,43.667023,-79.401805,79,M5S,35204157.0,8
243,7445,Eastwood Rd / Coxwell Ave - SMART,43.673118,-79.318651,64,M4L,35203993.0,30
244,7418,College Park - Yonge St Entrance,43.65988,-79.38279,76,M5G,35204606.0,2
245,7443,Dundas St E / George St,43.6574766,-79.373446,73,M5A,35202849.0,34
246,7416,Spadina Ave / Blue Jays Way,43.641705,-79.393295,77,M5V,35204822.0,27
247,7422,Tyndall Ave / King St W - SMART,43.638426,-79.429142,85,M6K,35204024.0,25
248,7402,Wellington St W / Bathurst St,43.642769,-79.402129,77,M5V,35204894.0,23
249,7444,Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,88,M6P,35201293.0,17
250,7411,Little Norway Park,43.635023,-79.399505,82,M5V,35204873.0,29
251,7457,Queen's Park Cres W / Hoskin Ave,43.665221,-79.394009,79,M5S,35204157.0,5
252,7415,Keele St / Vine Ave - SMART,43.66686,-79.46526,90,M6P,35201380.0,17
